fecha	hora	demanda
2020-01-03	2	8556,311666897795
2020-01-03	3	8309,900140854299
2020-01-03	4	8208,3327173081
2020-01-03	5	8227,142856801005
2020-01-03	6	8302,561960898704
2020-01-03	7	8456,530509982558
2020-01-03	8	8601,094844194004
2020-01-03	9	9173,729469288432
2020-01-03	10	9662,042298119013
2020-01-03	11	9934,147271145463
2020-01-03	12	10146,33020293077
2020-01-03	13	10300,017687530408
2020-01-03	14	10379,89998644134
2020-01-03	15	10408,677582049097
2020-01-03	16	10426,121902506402
2020-01-03	17	10258,333549410501
2020-01-03	18	10090,670659024894
2020-01-03	19	9792,071112529498
2020-01-03	20	9662,562081008604
2020-01-03	21	9740,034477707597
2020-01-03	22	10022,512856705698
2020-01-03	23	10025,719748040001
2020-01-03	24	9640,4079213024
2020-01-04	1	9288,860023838099
2020-01-04	2	8863,6445120233
2020-01-04	3	8526,189806244402
2020-01-04	4	8331,185425687903
2020-01-04	5	8187,108720614096
2020-01-04	6	8184,263140358097
2020-01-04	7	8156,450068740201
2020-01-04	8	8126,989324439605
2020-01-04	9	8483,654342613003
2020-01-04	10	8962,2819402919
2020-01-04	11	9283,6299682968
2020-01-04	12	9513,740645096694
2020-01-04	13	9603,388339834895
2020-01-04	14	9608,057544995303
2020-01-04	15	9558,39187897191
2020-01-04	16	9453,776799472
2020-01-04	17	9292,241864111995
2020-01-04	18	9234,34216347091
2020-01-04	19	9183,457239825102
2020-01-04	20	9043,648576085892
2020-01-04	21	9080,456609446104
2020-01-04	22	9465,2738913982
2020-01-04	23	9491,118483017304
2020-01-04	24	9174,079016032903
2020-01-05	1	8658,777482421703
2020-01-05	2	8294,266822258403
2020-01-05	3	7974,5685775343045
2020-01-05	4	7793,4811685584
2020-01-05	5	7716,113588477
2020-01-05	6	7651,063963864698
2020-01-05	7	7561,1373136211005
2020-01-05	8	7444,122745401907
2020-01-05	9	7586,739141883005
2020-01-05	10	7954,661709124
2020-01-05	11	8214,763546446498
2020-01-05	12	8413,651964121398
2020-01-05	13	8526,4490463847
2020-01-05	14	8662,763557184404
2020-01-05	15	8621,029622543394
2020-01-05	16	8535,476606795502
2020-01-05	17	8351,971311998406
2020-01-05	18	8369,610285759503
2020-01-05	19	8399,2567053198
2020-01-05	20	8467,261327232503
2020-01-05	21	8643,018085039199
2020-01-05	22	9192,584896966602
2020-01-05	23	9147,223049634405
2020-01-05	24	8764,849215707203
2020-01-06	1	8414,8153340823
2020-01-06	2	8092,5500022577
2020-01-06	3	7832,7918210758025
2020-01-06	4	7717,667571820499
2020-01-06	5	7680,656914350997
2020-01-06	6	7760,827152389102
2020-01-06	7	7995,775984140496
2020-01-06	8	8269,269199094899
2020-01-06	9	8886,450292857498
2020-01-06	10	9361,9814753152
2020-01-06	11	9633,433329743899
2020-01-06	12	9818,161698146703
2020-01-06	13	9863,831941282708
2020-01-06	14	9938,348510246607
2020-01-06	15	9987,970295273706
2020-01-06	16	10054,854907849394
2020-01-06	17	10054,511181202803
2020-01-06	18	9932,313833431712
2020-01-06	19	9650,8708888131
2020-01-06	20	9441,324802689502
2020-01-06	21	9470,947840682797
2020-01-06	22	9860,758714114596
2020-01-06	23	9721,874931328703
2020-01-06	24	9250,098813342292
2020-01-07	1	8792,158384022096
2020-01-07	2	8416,777461831103
2020-01-07	3	8089,197955700999
2020-01-07	4	7978,490052083399
2020-01-07	5	7941,573160528502
2020-01-07	6	7976,978443987699
2020-01-07	7	8126,015031672596
2020-01-07	8	8345,848504303602
2020-01-07	9	8848,940795696706
2020-01-07	10	9299,568076011697
2020-01-07	11	9557,000048170106
2020-01-07	12	9804,6804747179
2020-01-07	13	9873,997925034408
2020-01-07	14	9921,569386388199
2020-01-07	15	10013,411859539901
2020-01-07	16	10118,235208184304
2020-01-07	17	10012,959362835702
2020-01-07	18	9885,148597972406
2020-01-07	19	9562,8895176162
2020-01-07	20	9376,881480415299
2020-01-07	21	9430,141815232006
2020-01-07	22	9800,006405449101
2020-01-07	23	9715,364227627699
2020-01-07	24	9273,850088791602
2020-01-08	1	8809,604012071597
2020-01-08	2	8423,375810625304
2020-01-08	3	8123,0475086309025
2020-01-08	4	8056,0415977931025
2020-01-08	5	7977,744959225195
2020-01-08	6	7991,6866817171995
2020-01-08	7	8153,030677275398
2020-01-08	8	8345,024697741295
2020-01-08	9	8886,061335247197
2020-01-08	10	9211,6961784646
2020-01-08	11	9360,601817969105
2020-01-08	12	9544,167105519497
2020-01-08	13	9627,1550680544
2020-01-08	14	9607,521092328701
2020-01-08	15	9582,179186037903
2020-01-08	16	9575,402850843197
2020-01-08	17	9474,27572049449
2020-01-08	18	9318,021437447604
2020-01-08	19	9109,904975940393
2020-01-08	20	9010,738139281093
2020-01-08	21	9176,160622947598
2020-01-08	22	9647,481971083402
2020-01-08	23	9564,224125591503
2020-01-08	24	9199,071317912598
2020-01-09	1	8719,9440632881
2020-01-09	2	8343,640668988694
2020-01-09	3	8043,8757214711995
2020-01-09	4	7901,354426207996
2020-01-09	5	7875,103200090197
2020-01-09	6	7991,802044924798
2020-01-09	7	8143,5014753967935
2020-01-09	8	8282,890302937503
2020-01-09	9	8788,5172022512
2020-01-09	10	9331,668093232503
2020-01-09	11	9572,254691817905
2020-01-09	12	9769,913684630399
2020-01-09	13	9925,326017833502
2020-01-09	14	9978,6540977528
2020-01-09	15	10053,568423499803
2020-01-09	16	10116,134453528406
2020-01-09	17	10101,725054790293
2020-01-09	18	9886,1676755725
2020-01-09	19	9652,7773912901
2020-01-09	20	9466,352862073103
2020-01-09	21	9400,656820096498
2020-01-09	22	9816,0069267494
2020-01-09	23	9702,682845892701
2020-01-09	24	9302,427025527899
2020-01-10	1	8868,374675687202
2020-01-10	2	8411,112665314096
2020-01-10	3	8118,8369940445
2020-01-10	4	7983,4029454831
2020-01-10	5	7923,030683337301
2020-01-10	6	8006,429501509595
2020-01-10	7	8138,909783090698
2020-01-10	8	8431,9457854295
2020-01-10	9	8925,309427944801
2020-01-10	10	9301,192716874
2020-01-10	11	9600,016391425796
2020-01-10	12	9840,1192443458
2020-01-10	13	9880,077237846299
2020-01-10	14	9904,020921626508
2020-01-10	15	10081,117181577793
2020-01-10	16	10161,014055972104
2020-01-10	17	10094,320090573798
2020-01-10	18	9933,308378498099
2020-01-10	19	9640,087010049996
2020-01-10	20	9535,748685639595
2020-01-10	21	9557,570121649798
2020-01-10	22	9836,5086952501
2020-01-10	23	9690,911582852304
2020-01-10	24	9273,497100428805
2020-01-11	1	8959,808852440205
2020-01-11	2	8559,214887349697
2020-01-11	3	8268,2300628955
2020-01-11	4	8078,1855412159985
